Waktu,Debat Pertama Capres 2024: (Indonesia)
2023-12-07T21,0
2023-12-07T22,0
2023-12-07T23,0
2023-12-08T00,0
2023-12-08T01,0
2023-12-08T02,0
2023-12-08T03,0
2023-12-08T04,0
2023-12-08T05,0
2023-12-08T06,0
2023-12-08T07,5
2023-12-08T08,21
2023-12-08T09,0
2023-12-08T10,0
2023-12-08T11,5
2023-12-08T12,0
2023-12-08T13,0
2023-12-08T14,0
2023-12-08T15,3
2023-12-08T16,0
2023-12-08T17,0
2023-12-08T18,3
2023-12-08T19,0
2023-12-08T20,0
2023-12-08T21,0
2023-12-08T22,0
2023-12-08T23,9
2023-12-09T00,0
2023-12-09T01,9
2023-12-09T02,0
2023-12-09T03,0
2023-12-09T04,0
2023-12-09T05,0
2023-12-09T06,0
2023-12-09T07,0
2023-12-09T08,0
2023-12-09T09,3
2023-12-09T10,0
2023-12-09T11,0
2023-12-09T12,0
2023-12-09T13,2
2023-12-09T14,0
2023-12-09T15,3
2023-12-09T16,0
2023-12-09T17,0
2023-12-09T18,0
2023-12-09T19,0
2023-12-09T20,0
2023-12-09T21,0
2023-12-09T22,0
2023-12-09T23,0
2023-12-10T00,0
2023-12-10T01,0
2023-12-10T02,0
2023-12-10T03,0
2023-12-10T04,0
2023-12-10T05,8
2023-12-10T06,11
2023-12-10T07,0
2023-12-10T08,0
2023-12-10T09,4
2023-12-10T10,3
2023-12-10T11,5
2023-12-10T12,0
2023-12-10T13,9
2023-12-10T14,3
2023-12-10T15,0
2023-12-10T16,3
2023-12-10T17,7
2023-12-10T18,0
2023-12-10T19,0
2023-12-10T20,0
2023-12-10T21,2
2023-12-10T22,3
2023-12-10T23,4
2023-12-11T00,0
2023-12-11T01,0
2023-12-11T02,0
2023-12-11T03,0
2023-12-11T04,0
2023-12-11T05,0
2023-12-11T06,6
2023-12-11T07,0
2023-12-11T08,0
2023-12-11T09,2
2023-12-11T10,2
2023-12-11T11,4
2023-12-11T12,3
2023-12-11T13,5
2023-12-11T14,3
2023-12-11T15,3
2023-12-11T16,9
2023-12-11T17,7
2023-12-11T18,9
2023-12-11T19,8
2023-12-11T20,6
2023-12-11T21,0
2023-12-11T22,4
2023-12-11T23,0
2023-12-12T00,0
2023-12-12T01,11
2023-12-12T02,0
2023-12-12T03,39
2023-12-12T04,15
2023-12-12T05,7
2023-12-12T06,14
2023-12-12T07,6
2023-12-12T08,11
2023-12-12T09,11
2023-12-12T10,8
2023-12-12T11,9
2023-12-12T12,14
2023-12-12T13,7
2023-12-12T14,11
2023-12-12T15,14
2023-12-12T16,20
2023-12-12T17,34
2023-12-12T18,41
2023-12-12T19,100
2023-12-12T20,59
2023-12-12T21,63
2023-12-12T22,94
2023-12-12T23,46
2023-12-13T00,36
2023-12-13T01,37
2023-12-13T02,40
2023-12-13T03,26
2023-12-13T04,50
2023-12-13T05,91
2023-12-13T06,68
2023-12-13T07,83
2023-12-13T08,60
2023-12-13T09,47
2023-12-13T10,52
2023-12-13T11,47
2023-12-13T12,40
2023-12-13T13,33
2023-12-13T14,37
2023-12-13T15,46
2023-12-13T16,42
2023-12-13T17,29
2023-12-13T18,19
2023-12-13T19,20
2023-12-13T20,20
2023-12-13T21,38
2023-12-13T22,25
2023-12-13T23,24
2023-12-14T00,25
2023-12-14T01,26
2023-12-14T02,11
2023-12-14T03,33
2023-12-14T04,39
2023-12-14T05,30
2023-12-14T06,40
2023-12-14T07,25
2023-12-14T08,18
2023-12-14T09,23
2023-12-14T10,18
2023-12-14T11,18
2023-12-14T12,16
2023-12-14T13,14
2023-12-14T14,10
2023-12-14T15,14
2023-12-14T16,15
2023-12-14T17,20
2023-12-14T18,12
2023-12-14T19,12
2023-12-14T20,10
